table_name,table_description,column_name&description
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Dealer Zone (STRING) NULLABLE: Dealer Zone
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Dealer Area Office (STRING) NULLABLE: Dealer Area Office
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Dealer Parent Name (STRING) NULLABLE: Dealer Parent Name
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Dealer Parent Group Code (STRING) NULLABLE: Dealer Parent Group Code
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Dealer Location Code (STRING) NULLABLE: Dealer Location Code
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Dealer Location (STRING) NULLABLE: Dealer Location
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Bill Date (DATE) NULLABLE: Bill Date
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,FAMLY_DESC (STRING) NULLABLE: FAMLY_DESC
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,MODEL_GROP (STRING) NULLABLE: MODEL_GROP
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,OEM Part Indicator (STRING) NULLABLE: OEM Part Indicator
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Part Category Description (STRING) NULLABLE: Part Category Description
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,Category1 (STRING) NULLABLE: Category1
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,PART_DESC (STRING) NULLABLE: PART_DESC
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,PART_NUMBR (STRING) NULLABLE: PART_NUMBR
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,RO Closed Date (DATE) NULLABLE: RO Closed Date
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,RO Date (DATE) NULLABLE: RO Date
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,RO_ID (STRING) NULLABLE: RO_ID
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,SERVC_CATGRY_DESC (STRING) NULLABLE: SERVC_CATGRY_DESC
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,SERVC_TYPE_DESC (STRING) NULLABLE: SERVC_TYPE_DESC
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,SV_RO_HDR_SK (INTEGER) NULLABLE: SV_RO_HDR_SK
MH_RO_DATA.MH_RO_PARTS_DETAILS,Contains OEM and Local Parts consumed in repair orders data,VIN (STRING) NULLABLE: VIN
